ticker,PE_ratio,ROE,DE_ratio,dividend_yield,revenue_growth,profit_margin,current_ratio,market_cap_raw,beta,sector,forward_return
EQIX,69.22915,0.09722,160.291,2.01,0.081,0.14579001,1.316,10.97220760555435,1.067,Real Estate,-0.013540147682852666
EQR,22.375875,0.100200005,74.323,4.39,0.02,0.36202,0.106,10.401159073215284,0.76,Real Estate,0.26706318127094725
ERIE,22.602903,0.30444,2.353,1.96,0.067,0.16038,1.669,10.16565309221538,0.372,Financial Services,0.37549460053512845
ESS,24.276657,0.12235,119.433,4.09,0.024,0.34601003,0.49,10.242158199207793,0.738,Real Estate,0.34428506507207596
EL,,-0.04341,232.945,1.32,0.056,-0.012130001,1.358,10.593330105438785,1.106,Consumer Defensive,0.32321530476092336
EG,8.909283,0.10847,23.213,2.38,-0.03,0.0907,0.403,10.150471746979735,0.331,Financial Services,-0.21523789340245514
EVRG,22.586302,0.08454,142.45,3.44,-0.001,0.1445,0.516,10.278270005751873,0.644,Utilities,0.014884278238773085
ES,20.223757,0.0861,184.357,4.48,0.051,0.102189995,0.715,10.43882067990113,0.792,Utilities,0.4056743401219551
EXC,17.75458,0.09936,173.901,3.53,-0.011,0.11411,0.924,10.68978894092399,,Utilities,0.47601804825755706
EXE,33.593246,0.061189998,27.95,3.08,3.193,0.08043,0.81,10.395898866828931,0.449,Energy,-0.1474938716025149
EXPE,21.885948,0.53886,250.289,0.7,0.087,0.096590005,0.744,10.42470122941795,1.382,Consumer Cyclical,0.1759337009046656
EXPD,24.012867,0.36505002,24.549,1.1,-0.035,0.07571,1.794,10.301251497451608,1.128,Industrials,-0.21324440770501088
EXR,32.432888,0.06786,94.252,4.49,0.034,0.27735,1.46,10.50686575145485,1.264,Real Estate,0.04610498221610143
XOM,22.164927,0.110810004,16.329,2.75,-0.013,0.089049995,1.153,11.796761752577972,0.358,Energy,0.23837933732066557
FFIV,22.641972,0.20844,7.566,,0.073,0.22455,1.554,10.191414317993221,1.008,Technology,0.1677915994276828
FDS,12.940165,0.28831,71.961,2.18,0.068,0.25399,1.544,9.881219032188158,0.726,Financial Services,0.2700755854998668
FICO,50.45855,,,,0.164,0.31886998,0.929,10.509773852802255,1.269,Technology,0.3278248777690744
FAST,42.463303,0.33291,11.205,1.98,0.111,0.15345,4.852,10.725449942361548,0.885,Industrials,-0.1323901277030413
